,Over_All,ball_skills,physical,defence,GK,mental,shooting,passing,hight,wight,age,value
Sven Botman,79,61.5,66.85714285714290,80.5,9.8,66.66666666666670,43.25,61.666666666666700,193,81,21,25500000
Bruno Guimarães,79,79.0,70.42857142857140,76.0,11.0,75.66666666666670,65.125,77.66666666666670,182,78,23,24500000
Emerson,79,75.5,77.57142857142860,74.0,11.2,71.66666666666670,59.75,73.0,181,79,22,25000000
Maxence Lacroix,79,64.5,74.71428571428570,80.5,11.2,66.33333333333330,38.125,58.0,190,88,21,33000000
Rodrygo,79,82.0,77.42857142857140,30.5,8.4,64.33333333333330,72.25,68.33333333333330,174,64,20,38500000
Cody Gakpo,79,79.5,78.57142857142860,40.5,9.4,66.66666666666670,72.875,72.33333333333330,189,76,22,28000000
Mehdi Taremi,79,82.0,74.42857142857140,39.5,10.4,64.5,71.625,68.66666666666670,187,83,29,18000000
Aurélien Tchouaméni,79,78.0,75.28571428571430,78.0,9.6,78.5,64.25,76.0,187,81,21,28000000
Teun Koopmeiners,79,73.0,72.0,76.0,11.6,75.5,73.875,80.33333333333330,183,77,23,24500000
Matheus Cunha,79,84.5,78.28571428571430,28.5,10.4,66.83333333333330,73.5,72.66666666666670,183,76,22,35500000
Nemanja Maksimović,79,73.0,66.14285714285710,77.5,13.4,77.83333333333330,64.75,73.66666666666670,189,78,26,23000000
Lisandro Martínez,79,76.0,77.14285714285710,81.0,11.0,76.0,60.0,75.33333333333330,178,77,23,25000000
Pervis Estupiñán,79,72.0,76.0,74.5,9.8,65.0,47.5,73.0,175,78,23,26000000
Enis Bardhi,79,81.5,69.85714285714290,64.0,10.2,74.16666666666670,79.75,76.0,172,64,26,21000000
David Neres,79,85.0,77.14285714285710,37.0,9.6,66.33333333333330,65.25,71.33333333333330,176,66,24,25000000
Moise Kean,79,78.0,79.28571428571430,38.0,9.4,62.166666666666700,69.375,51.666666666666700,182,72,21,39500000
Owen Wijndal,79,78.0,78.28571428571430,75.0,9.6,75.5,54.5,75.33333333333330,176,65,21,25000000
Marcos Senesi,79,72.0,68.57142857142860,82.5,9.8,67.66666666666670,40.875,67.0,183,78,24,25000000
L. Olivas Bissouma,79,79.0,74.71428571428570,78.0,9.6,75.5,68.0,74.0,182,80,25,24500000
Lucas Veríssimo,79,59.5,71.57142857142860,79.5,11.6,65.66666666666670,43.75,59.0,188,77,26,23000000
Gregor Kobel,79,29.0,36.57142857142860,15.0,78.4,41.666666666666700,17.25,28.333333333333300,195,88,23,21500000
Jonathan Ikoné,79,82.0,73.28571428571430,34.0,10.4,68.16666666666670,66.375,70.66666666666670,175,73,23,25000000
Patrik Schick,79,81.5,71.42857142857140,34.0,11.4,64.16666666666670,73.75,67.66666666666670,191,85,25,23500000
Odriozola,79,76.0,75.0,74.5,10.4,68.0,56.5,75.66666666666670,176,66,25,21500000
Zubeldia,79,74.0,74.0,80.0,9.2,76.66666666666670,64.875,75.0,181,73,24,24000000
Fikayo Tomori,79,62.5,76.28571428571430,81.0,10.2,64.33333333333330,41.75,62.0,185,79,23,25000000
Daichi Kamada,79,84.0,73.14285714285710,42.0,8.8,65.5,66.75,78.33333333333330,184,76,25,24000000
Mauro Arambarri,79,75.5,60.857142857142900,79.5,11.0,72.83333333333330,59.5,72.0,175,74,26,23500000
Gabriel,79,59.0,63.57142857142860,80.5,10.0,69.16666666666670,42.0,61.333333333333300,190,87,23,24000000
Luka Jović,79,79.0,76.0,25.5,9.8,65.66666666666670,73.75,66.66666666666670,182,85,23,27000000
Luimo Boas Santos,79,81.5,78.57142857142860,23.5,9.6,63.0,75.375,57.333333333333300,176,73,21,21000000
Gabri Prestão,79,19.0,53.142857142857100,15.5,77.2,42.0,16.125,10.333333333333300,186,80,29,12000000
Melvin Parrela,79,73.0,73.71428571428570,83.0,11.0,74.33333333333330,70.875,67.33333333333330,188,88,21,18500000
Everton Andrão,79,76.0,72.71428571428570,80.5,11.0,72.16666666666670,61.625,76.0,177,75,25,17000000
Adnan Vidual,79,71.0,73.57142857142860,77.0,7.6,68.5,55.875,72.0,175,70,29,15500000
Ronaldo Esler,79,75.0,77.57142857142860,76.0,11.8,73.5,57.25,71.0,168,65,21,19000000
Kasper Dolberg,79,78.5,72.28571428571430,26.0,10.2,60.666666666666700,77.625,63.0,187,84,23,25500000
Ezequiel Ávila,79,78.0,79.42857142857140,42.0,9.4,70.0,72.875,64.0,172,81,27,20500000
Marcus Thuram,79,81.5,75.71428571428570,46.0,12.4,67.66666666666670,69.125,70.33333333333330,192,88,24,27500000
Pablo Fornals,79,81.0,68.42857142857140,71.0,10.8,74.83333333333330,68.25,78.66666666666670,178,67,25,23000000
Uğurcan Çakır,79,19.0,57.57142857142860,17.5,77.4,40.5,22.75,24.666666666666700,191,82,25,19000000
Aritz Elustondo,79,62.0,68.0,78.5,10.4,61.5,44.25,68.0,180,71,27,18500000
Emiliano Buendía,79,82.0,70.0,67.5,10.0,75.5,68.875,79.0,172,65,24,26500000
Alexandr Golovin,79,83.0,77.42857142857140,69.5,13.2,77.66666666666670,67.625,77.66666666666670,180,69,25,24500000
Eric Bailly,79,66.0,70.85714285714290,78.0,11.0,70.33333333333330,48.875,59.666666666666700,186,77,27,17500000
Alex Meret,79,19.0,48.0,15.5,76.8,37.666666666666700,23.5,22.0,190,83,24,30000000
Providence Çelik,79,73.5,74.71428571428570,76.0,10.6,73.33333333333330,57.0,73.0,180,78,24,22000000
Ramy Bensebaini,79,77.5,72.57142857142860,75.5,10.8,73.0,62.625,75.0,186,82,26,21000000
Adam Marušić,79,75.5,79.0,74.5,8.8,70.33333333333330,67.25,67.33333333333330,185,85,28,16000000
Ruben Aguilar,79,75.5,79.14285714285710,75.0,12.4,74.0,51.125,74.66666666666670,172,71,28,16000000
Mata,79,79.0,65.28571428571430,28.5,9.6,68.83333333333330,70.125,59.666666666666700,185,79,32,14000000
Gabriel Arias,79,24.0,48.285714285714300,24.0,77.6,38.166666666666700,25.125,24.0,188,82,34,5500000
Timothy Castagne,79,77.5,73.14285714285710,76.0,12.6,73.0,50.0,74.66666666666670,180,80,25,21500000
Julian Weigl,79,77.5,68.71428571428570,82.0,10.8,79.33333333333330,57.125,75.0,186,80,26,23000000
Nico Elvedi,79,69.5,71.57142857142860,80.5,11.0,68.0,43.125,65.33333333333330,189,81,25,22500000
Davinson Sánchez,79,66.0,70.14285714285710,79.0,9.4,66.5,44.75,58.666666666666700,187,79,25,19500000
Renato Tapia,79,74.5,74.57142857142860,80.5,12.0,73.5,66.875,72.66666666666670,185,80,26,22000000
Y.Niakate Mina,79,61.5,56.142857142857100,80.0,10.2,68.33333333333330,52.125,62.666666666666700,195,94,27,19000000
Munir,79,82.5,74.85714285714290,32.5,11.2,65.83333333333330,75.625,71.66666666666670,175,69,26,21000000
Tiemoué Bakayoko,79,77.0,69.14285714285710,76.5,12.2,74.16666666666670,49.875,68.66666666666670,189,85,27,19500000
Hamari Traoré,79,76.0,81.57142857142860,73.0,11.2,71.66666666666670,54.125,76.0,175,71,29,15500000
Mahmoud Dahoud,79,83.0,76.42857142857140,68.5,10.6,74.83333333333330,64.5,76.0,178,68,25,23000000
Paulinho,79,76.0,73.42857142857140,41.0,11.8,71.5,72.0,59.666666666666700,188,84,28,18000000
Allan Saint-Maximin,79,87.0,81.85714285714290,23.0,9.0,58.333333333333300,64.5,69.33333333333330,173,67,24,26500000
Davide Overman,79,75.0,71.42857142857140,75.5,9.0,72.16666666666670,67.0,74.66666666666670,182,75,29,15500000
Armando Izzo,79,64.5,71.42857142857140,82.5,10.2,60.166666666666700,40.125,53.666666666666700,183,81,29,16000000
Mateus Uribe,79,76.5,78.0,76.0,13.2,77.5,67.125,75.0,182,71,30,17000000
Ricardo Horta,79,80.0,76.0,38.0,9.4,72.66666666666670,73.0,73.66666666666670,173,63,27,21000000
José Sá,79,18.0,52.57142857142860,16.5,75.6,34.333333333333300,19.375,22.666666666666700,192,84,28,15000000
Federico Bernardeschi,79,84.5,72.71428571428570,61.5,12.8,69.0,74.625,78.0,185,77,27,18500000
Paul Ebere Onuachu,79,75.5,63.42857142857140,40.5,10.4,69.16666666666670,69.25,60.666666666666700,201,93,27,20500000
Vincenzo Grifo,79,82.0,69.0,40.5,10.4,66.66666666666670,73.5,80.0,180,76,28,17500000
Kerem Demirbay,79,83.5,69.28571428571430,68.0,13.6,75.66666666666670,71.75,78.0,183,73,28,18500000
Rubén Peña,79,78.5,75.0,75.0,10.8,71.16666666666670,66.25,74.33333333333330,170,65,30,15500000
Rubén García,79,79.5,73.28571428571430,46.5,12.0,64.66666666666670,71.625,79.66666666666670,171,71,28,18500000
Chancel Mbemba,79,64.0,73.42857142857140,80.0,10.6,67.16666666666670,46.75,62.666666666666700,182,82,27,20500000
Kevin Mbabu,79,73.0,81.71428571428570,75.5,10.0,71.33333333333330,51.5,70.33333333333330,184,83,26,21000000
Juan Fernando Quintero,79,83.0,67.28571428571430,40.5,11.8,67.16666666666670,75.25,77.66666666666670,169,65,28,17500000
Jonas Hofmann,79,78.5,73.57142857142860,55.5,8.4,74.66666666666670,66.875,80.66666666666670,176,73,29,17500000
De Tomás,79,80.5,74.85714285714290,33.0,10.2,67.5,78.25,66.66666666666670,180,79,26,23000000
Christian Günter,79,70.5,73.28571428571430,74.5,11.0,71.83333333333330,58.5,72.33333333333330,184,83,28,16000000
Berat Djimsiti,79,51.0,61.42857142857140,82.5,9.8,71.5,42.5,63.0,190,83,28,15000000
Abdoulaye Doucouré,79,78.5,73.57142857142860,77.5,13.6,76.83333333333330,63.25,74.33333333333330,184,76,28,17500000
Matheus,79,17.0,50.0,18.0,78.0,38.333333333333300,19.375,26.0,190,84,29,15000000
William Carvalho,79,73.0,58.714285714285700,75.0,9.0,75.83333333333330,61.875,75.33333333333330,187,79,29,15000000
Jesse Lingard,79,80.0,74.85714285714290,60.0,10.8,74.66666666666670,74.75,72.33333333333330,175,60,28,17500000
Kepa,79,21.5,43.714285714285700,18.5,79.4,40.333333333333300,24.125,42.666666666666700,186,88,26,19000000
Manu Trigueros,79,79.5,65.0,70.5,10.0,76.0,71.125,77.0,178,75,29,17000000
Alassane Plea,79,78.5,75.0,34.5,13.8,71.66666666666670,77.5,76.0,181,79,28,18000000
Taras Stepanenko,79,68.5,70.85714285714290,79.0,12.0,75.33333333333330,61.0,73.0,181,80,32,12500000
Ben Davies,79,76.5,70.71428571428570,79.5,9.0,72.33333333333330,57.875,76.66666666666670,182,76,28,16000000
Santiago Arias,79,75.5,76.28571428571430,77.5,13.2,74.66666666666670,53.25,74.66666666666670,178,72,29,15500000
Edgar Badia,79,16.0,47.0,19.0,77.6,41.5,22.375,25.333333333333300,180,70,29,13500000
Christoph Kramer,79,74.5,59.57142857142860,80.0,8.8,76.0,52.0,70.66666666666670,191,76,30,14500000
Davy Klaassen,79,77.5,72.71428571428570,71.5,11.4,79.5,72.125,74.33333333333330,179,70,28,17500000
André Carrillo,79,83.5,76.71428571428570,34.0,11.4,65.16666666666670,71.75,73.33333333333330,182,78,30,17000000
Álvaro,79,56.5,73.0,81.0,10.6,64.66666666666670,42.625,64.33333333333330,182,75,31,12000000
Karim Bellarabi,79,82.0,78.0,31.0,10.0,70.0,67.875,69.33333333333330,184,81,31,14500000
Willy Boly,79,66.5,66.28571428571430,79.5,9.8,69.16666666666670,43.25,66.66666666666670,195,97,30,14500000
Sergi Darder,79,80.0,69.42857142857140,72.0,9.2,77.0,71.625,77.66666666666670,180,71,27,20000000
Deulofeu,79,82.5,74.28571428571430,32.0,12.8,64.16666666666670,70.25,70.0,177,73,27,18500000
Eric Dier,79,68.5,58.714285714285700,78.5,10.6,72.33333333333330,69.625,70.0,190,90,27,17500000
Conor Coady,79,70.5,61.42857142857140,81.0,10.6,71.5,61.875,77.66666666666670,186,80,28,17500000
Geoffrey Kondogbia,79,77.5,75.71428571428570,78.0,10.6,81.0,67.125,74.66666666666670,188,76,28,17500000
Benjamin Lecomte,79,17.0,43.57142857142860,14.0,78.4,39.666666666666700,19.75,17.0,187,78,30,13000000
Cristian Tello,79,80.5,77.14285714285710,52.0,11.2,63.333333333333300,70.75,73.0,178,65,30,17000000
Granit Xhaka,79,73.0,58.0,69.5,9.2,73.66666666666670,67.875,79.66666666666670,185,82,29,15500000
Lucas Pérez,79,78.5,71.71428571428570,24.5,10.0,70.0,79.125,72.66666666666670,180,73,33,14000000
Danilo D'Ambrosio,79,70.0,74.85714285714290,80.0,12.4,72.0,62.25,70.33333333333330,180,75,33,11500000
Alex Oxlade-Chamberlain,79,83.0,78.28571428571430,70.0,9.8,77.16666666666670,66.5,77.66666666666670,175,70,28,18500000
Rodrigo,79,80.0,78.14285714285710,44.5,9.2,69.16666666666670,77.0,72.66666666666670,182,77,30,17000000
Germán,79,59.5,57.0,81.0,9.2,65.5,40.875,60.666666666666700,187,82,34,5500000
Callum Wilson,79,78.5,76.0,38.0,9.8,70.83333333333330,70.875,65.0,180,66,29,17500000
Rafał Gikiewicz,79,18.5,41.142857142857100,13.5,75.4,34.0,22.25,20.666666666666700,190,81,33,5500000
J. Femenías El Arabi,79,80.5,71.71428571428570,27.5,10.0,66.66666666666670,79.625,65.66666666666670,182,84,34,8500000
M.Demir Shaqiri,79,81.0,73.0,42.0,11.8,71.16666666666670,73.875,79.0,169,72,29,17000000
Nemanja Gudelj,79,72.5,66.85714285714290,75.0,10.6,75.83333333333330,74.375,78.33333333333330,187,73,29,15000000
Luis Miguel Rodríguez,79,83.5,72.57142857142860,40.0,10.2,74.33333333333330,80.5,73.0,168,71,36,6000000
Mario Gaspar,79,73.5,70.71428571428570,80.5,10.6,71.16666666666670,66.125,74.33333333333330,180,77,30,15000000
Marcos Alonso,79,80.5,66.57142857142860,74.0,10.0,74.33333333333330,77.75,78.66666666666670,188,85,30,15000000
Ai Kesen,79,78.5,83.85714285714290,44.0,9.4,71.83333333333330,78.375,69.33333333333330,180,77,32,15000000
Chris Wood,79,73.0,69.0,34.5,13.8,69.16666666666670,76.125,54.0,191,92,29,17500000
Gao Late,79,80.5,78.14285714285710,39.0,9.2,68.16666666666670,75.875,76.0,185,78,30,17000000
Ander Herrera,79,79.5,70.71428571428570,80.0,10.6,80.16666666666670,70.75,76.66666666666670,182,71,32,14500000
Nemanja Matić,79,77.0,52.142857142857100,81.5,11.4,75.0,69.0,78.0,194,83,33,11500000
Stephan El Shaarawy,79,78.0,78.71428571428570,48.0,4.2,65.33333333333330,74.25,72.0,178,73,28,17500000
Marco Silvestri,79,19.0,55.142857142857100,13.0,76.8,36.5,19.75,18.0,191,80,30,11500000
Michail Antonio,79,77.5,82.57142857142860,53.5,11.4,72.5,72.625,74.0,178,82,31,15000000
Illarramendi,79,79.0,62.142857142857100,79.0,11.8,79.16666666666670,65.0,75.66666666666670,179,74,31,12500000
Ben Mee,79,61.0,69.71428571428570,81.0,11.6,69.5,45.125,60.0,180,82,32,12000000
Aaron Cresswell,79,76.5,73.42857142857140,78.0,10.2,71.33333333333330,64.875,76.33333333333330,175,66,31,12500000
Iborra,79,74.5,54.0,77.5,10.8,76.83333333333330,70.375,74.0,190,80,33,8500000
Matías Suárez,79,83.0,79.0,45.0,11.4,72.33333333333330,75.875,75.33333333333330,183,75,33,11000000
Rafael Carioca,79,76.5,71.14285714285710,77.0,11.8,76.83333333333330,64.625,76.33333333333330,181,78,32,11500000
Manni M'Vila,79,75.5,69.85714285714290,75.5,12.0,76.5,65.0,74.33333333333330,182,80,31,12500000
Montoro,79,76.5,56.142857142857100,77.0,12.8,72.16666666666670,64.0,74.0,181,72,33,8500000
Gylfi Sigurðsson,79,80.5,63.0,59.0,11.6,71.66666666666670,78.375,81.66666666666670,186,77,32,14500000
Olivier Giroud,79,75.0,59.285714285714300,37.0,9.8,72.83333333333330,78.625,65.66666666666670,193,91,35,8500000
Nahuel Guzmán,79,26.0,59.714285714285700,19.5,77.2,47.666666666666700,19.875,37.0,193,94,35,1900000
Mesut Özil,79,80.5,58.42857142857140,20.0,10.0,66.0,69.375,83.33333333333330,180,71,32,14000000
David Ospina,79,22.0,43.42857142857140,12.0,78.4,40.166666666666700,19.5,26.333333333333300,183,80,33,8500000
Antonio Candreva,79,81.0,67.71428571428570,62.0,9.2,72.83333333333330,74.125,80.0,180,70,34,8000000
Blaise Matuidi,79,75.0,78.57142857142860,78.5,9.6,74.83333333333330,63.875,74.0,180,75,34,6000000
Mousa Dembélé,79,86.5,76.42857142857140,72.5,14.2,76.16666666666670,66.875,75.66666666666670,185,85,34,11000000
Bafétimbi Gomis,79,76.0,64.57142857142860,27.0,11.2,67.66666666666670,76.375,64.33333333333330,186,86,36,7500000
Benoît Costil,79,12.5,46.142857142857100,13.5,78.0,39.666666666666700,19.0,26.333333333333300,187,82,34,5500000
James Milner,79,78.5,65.85714285714290,78.5,9.0,80.0,75.0,82.33333333333330,175,70,35,7000000
Iniesta,79,86.5,57.714285714285700,60.5,9.0,74.16666666666670,69.875,82.33333333333330,171,68,37,5500000
Florian Wirtz,78,84.0,70.0,56.0,11.4,69.66666666666670,61.75,74.66666666666670,176,70,18,29500000
Wesley Fofana,78,64.0,71.0,79.5,11.0,66.0,44.125,58.0,190,76,20,29000000
Eduardo Camavinga,78,80.5,75.14285714285710,76.5,10.0,77.0,64.25,76.0,182,68,18,29500000
Carlos Neva,78,74.0,71.42857142857140,76.5,9.2,67.33333333333330,50.25,67.66666666666670,174,64,25,19000000
Maxence Caqueret,78,80.0,72.85714285714290,75.5,9.0,77.33333333333330,54.875,70.66666666666670,174,63,21,30000000
Dušan Vlahović,78,77.0,70.14285714285710,22.0,9.4,61.333333333333300,68.875,56.0,190,75,21,29000000
Mason Greenwood,78,79.5,76.28571428571430,37.0,6.8,66.33333333333330,72.25,72.33333333333330,181,70,19,30500000
Ryan Gravenberch,78,83.5,76.57142857142860,69.0,9.8,71.66666666666670,67.875,77.0,190,79,19,33000000
N.Mendes Fofana,78,77.5,73.28571428571430,76.5,9.0,77.0,61.375,74.0,176,69,22,21500000
Puado,78,80.0,80.14285714285710,42.5,9.8,67.0,67.75,69.66666666666670,177,69,23,28000000
Ondřej Kolář,78,33.5,46.0,14.5,78.0,36.166666666666700,16.625,27.333333333333300,193,81,26,15000000
Uroš Račić,78,77.5,70.0,79.0,10.6,74.0,71.0,75.66666666666670,193,81,23,28000000
Jovane Cabral,78,80.0,77.71428571428570,36.0,10.0,66.66666666666670,74.0,72.0,176,72,23,31000000
Jonathan David,78,78.5,80.57142857142860,21.0,7.8,59.666666666666700,68.625,71.66666666666670,177,77,21,32000000
De Frutos,78,82.0,73.57142857142860,37.0,12.2,65.5,65.125,73.0,176,71,24,22000000
Júnior Moraes,78,77.5,73.14285714285710,17.5,9.2,67.0,67.125,55.333333333333300,176,74,34,7000000
Luis Milla,78,74.5,74.71428571428570,77.0,10.6,76.0,66.375,75.66666666666670,175,67,26,17500000
Christoph Baumgartner,78,80.5,71.0,42.5,11.0,66.16666666666670,66.5,72.0,180,73,22,22500000
Predrag Rajković,78,13.0,33.714285714285700,10.5,77.4,31.0,17.5,21.333333333333300,191,85,25,16500000
Amine Gouiri,78,80.0,75.0,43.0,8.4,69.33333333333330,75.625,74.66666666666670,180,72,21,29000000
Nicolás De la Cruz,78,79.5,81.0,69.0,8.0,79.33333333333330,74.625,74.33333333333330,167,65,24,22000000
Jean-Pierre Nsame,78,74.0,77.42857142857140,23.5,10.0,62.0,70.0,51.0,188,88,28,14500000
Matteo Pessina,78,79.5,70.57142857142860,67.5,9.8,75.5,60.375,74.66666666666670,183,75,24,22000000
Noa Lang,78,82.0,76.85714285714290,50.0,11.4,71.83333333333330,67.75,70.33333333333330,179,69,22,28500000
Pedro Neto,78,81.5,75.0,27.5,8.8,63.666666666666700,64.875,67.0,172,62,21,28500000
Dan-Axel da Silva Chagas,78,51.5,58.714285714285700,81.5,11.0,65.33333333333330,38.875,65.0,196,90,22,20500000
Amadou Haidara,78,81.0,73.71428571428570,68.5,8.6,75.0,66.625,76.33333333333330,175,72,23,21000000
Nicolò Rüth,78,80.5,78.85714285714290,61.5,9.6,74.0,66.5,69.66666666666670,190,79,22,31500000
Ibrahima Konaté,78,68.0,67.71428571428570,80.5,9.8,64.66666666666670,38.75,60.666666666666700,194,95,22,29500000
Antonín Barák,78,81.5,67.28571428571430,61.5,12.4,71.66666666666670,70.875,77.0,190,86,26,18500000
Luiz Felipe,78,70.0,66.85714285714290,80.0,10.8,64.16666666666670,38.5,63.666666666666700,187,80,24,26000000
Reinildo,78,74.0,75.42857142857140,76.5,9.8,71.33333333333330,53.25,66.66666666666670,180,73,27,15000000
Ismaïla Sarr,78,80.5,76.0,20.5,9.8,60.833333333333300,68.25,65.33333333333330,185,76,23,31000000
Domingos Duarte,78,56.0,57.857142857142900,79.5,11.8,64.83333333333330,39.625,62.666666666666700,190,78,26,17500000
Melano Herrera,78,78.0,69.42857142857140,78.0,8.8,74.5,64.25,74.0,184,77,23,22000000
Robin Le Normand,78,59.5,64.14285714285710,79.5,12.2,54.333333333333300,34.625,58.0,187,81,24,19000000
Wataru Endo,78,76.0,73.42857142857140,79.0,9.0,73.0,55.875,70.33333333333330,178,76,28,13500000
Justin Bijlow,78,16.0,53.0,14.0,77.4,38.5,16.875,29.0,188,76,23,27000000
Jack Harrison,78,78.5,77.42857142857140,42.5,9.2,65.33333333333330,63.875,70.33333333333330,175,70,24,22000000
Varga K. Boeder,78,82.0,68.28571428571430,46.0,9.4,70.16666666666670,75.25,77.66666666666670,185,74,24,20500000
Alban Lafont,78,12.0,55.57142857142860,17.0,76.2,36.0,16.25,35.0,196,90,22,17500000
Brahim,78,82.5,73.28571428571430,31.5,10.2,60.5,61.0,74.33333333333330,171,59,22,31500000
Tammy Abraham,78,74.5,67.14285714285710,29.0,10.6,61.666666666666700,68.875,57.666666666666700,196,87,23,31500000
Gonzalo Montiel,78,73.0,81.57142857142860,73.0,7.6,76.16666666666670,56.25,71.33333333333330,175,70,24,21000000
Prazeracinho,78,79.5,69.85714285714290,44.0,8.6,68.33333333333330,62.125,78.66666666666670,172,70,21,16500000
Matheus Bardeira,78,69.5,75.14285714285710,28.5,11.2,60.833333333333300,70.25,63.0,187,85,21,17000000
Fredditinho,78,73.0,78.14285714285710,32.5,12.0,64.83333333333330,74.125,62.333333333333300,188,87,33,9000000
Arturo Inálcio,78,79.0,70.57142857142860,45.0,11.4,66.0,60.75,77.0,170,60,21,16500000
Guilson Paiva,78,79.0,72.71428571428570,42.5,10.2,65.0,61.5,75.0,173,72,25,15500000
Albertinho Dutra,78,79.5,73.42857142857140,24.0,8.8,54.166666666666700,65.75,85.0,175,72,29,14000000
Everticinho,78,75.5,75.57142857142860,76.5,7.6,74.16666666666670,69.25,70.33333333333330,176,75,21,15000000
Vincente Dourado,78,60.0,64.85714285714290,77.0,9.8,65.5,36.125,69.33333333333330,190,88,25,13500000
Antônio Chiamuloira,78,53.0,67.0,79.5,10.8,64.16666666666670,54.375,65.0,182,79,21,14500000
Wellington Sabrão,78,73.0,78.0,73.5,11.0,66.83333333333330,56.25,72.0,169,66,33,7500000
Gerson Armão,78,71.5,73.85714285714290,75.5,10.2,70.5,74.75,73.33333333333330,186,73,21,15000000
Andrey Lunev,78,16.0,50.714285714285700,19.0,75.2,44.166666666666700,19.5,24.333333333333300,190,80,29,11000000
Davide Calabria,78,71.0,75.85714285714290,78.0,11.2,68.16666666666670,56.5,71.33333333333330,177,70,24,18000000
Emil Audero,78,18.5,50.42857142857140,10.0,76.8,34.166666666666700,21.625,20.333333333333300,192,83,24,15000000
Florian Grillitsch,78,79.5,65.57142857142860,72.5,10.6,74.0,57.75,78.0,187,77,26,18500000
Nuno Santos,78,80.5,73.0,38.5,10.6,72.83333333333330,73.75,74.66666666666670,176,73,26,16500000
Ezri Konsa,78,71.5,73.57142857142860,79.0,11.0,69.66666666666670,43.75,65.66666666666670,183,77,23,20000000
Rodrigo Bentancur,78,82.5,73.28571428571430,77.5,11.0,75.66666666666670,65.875,79.66666666666670,187,78,24,21000000
Matty Cash,78,71.5,76.85714285714290,74.5,13.0,69.16666666666670,55.875,70.0,179,74,24,20000000
Gelson Martins,78,81.5,81.28571428571430,52.5,8.6,67.33333333333330,68.5,66.33333333333330,173,74,26,16500000
Angelo Fulgini,78,83.0,72.57142857142860,68.5,11.6,72.33333333333330,64.75,73.33333333333330,183,71,25,20000000
Daniel Podence,78,84.0,76.42857142857140,36.0,11.6,66.16666666666670,58.625,70.33333333333330,165,58,25,18500000
Kelechi Iheanacho,78,78.5,70.71428571428570,37.5,9.6,66.16666666666670,74.125,68.33333333333330,185,82,24,20500000
Abdou Diallo,78,76.5,75.28571428571430,77.5,8.2,73.83333333333330,45.125,74.33333333333330,187,79,25,17500000
Guido Rodríguez,78,69.0,57.857142857142900,81.5,11.8,71.83333333333330,56.625,68.66666666666670,185,80,26,15000000
David García,78,68.0,61.285714285714300,77.5,9.8,66.66666666666670,42.625,70.33333333333330,185,72,27,16000000
Duje Ćaleta-Car,78,63.0,66.71428571428570,79.0,8.8,72.0,41.5,61.333333333333300,192,89,25,19000000
Jarrod Bowen,78,79.0,73.85714285714290,44.5,10.6,65.83333333333330,69.5,72.0,175,70,24,21000000
Cristian Pavón,78,77.0,83.42857142857140,52.5,10.0,67.16666666666670,71.875,72.33333333333330,174,78,25,18500000
Karl Toko Ekambi,78,76.5,77.42857142857140,18.5,11.2,63.0,73.0,69.33333333333330,185,74,29,14000000
Sergio Herrera,78,21.0,49.857142857142900,16.0,76.8,35.333333333333300,23.75,21.666666666666700,192,82,28,12000000
Mario Pašalić,78,79.5,68.14285714285710,66.5,12.8,76.0,69.125,75.33333333333330,188,82,26,17500000
Jony,78,77.5,71.0,53.0,12.4,69.16666666666670,67.0,77.33333333333330,179,71,30,14000000
Rick Karsdorp,78,79.0,76.57142857142860,76.5,13.0,75.5,65.375,76.66666666666670,184,80,26,16500000
Marvin Friedrich,78,52.0,65.0,82.0,13.0,64.5,43.625,59.333333333333300,192,81,25,15500000
Lucas Olaza,78,75.0,74.0,74.5,11.2,71.33333333333330,70.625,73.0,175,70,27,15000000
Ollie Watkins,78,75.5,82.28571428571430,43.0,11.6,62.333333333333300,68.75,65.33333333333330,180,70,25,21000000
Rafael Santos Borré,78,77.0,80.28571428571430,42.5,11.6,74.16666666666670,74.125,70.33333333333330,174,70,26,19000000
Matias Vecino,78,79.0,69.71428571428570,77.0,4.0,77.16666666666670,67.5,75.33333333333330,187,81,30,13500000
Baptiste Santamaria,78,75.5,69.57142857142860,78.5,8.4,70.33333333333330,58.375,72.0,183,73,26,15500000
Ludovic Ajorque,78,74.5,63.857142857142900,18.0,11.2,67.16666666666670,69.875,55.666666666666700,197,92,27,16500000
Samuel Gigot,78,60.0,69.28571428571430,78.5,11.8,67.5,43.375,70.33333333333330,187,83,27,16000000
Sequeira,78,73.5,71.85714285714290,77.0,10.4,66.66666666666670,65.5,75.66666666666670,184,79,31,12000000
Álex Moreno,78,76.5,77.57142857142860,72.5,10.8,68.83333333333330,62.125,70.66666666666670,179,68,28,12500000
Léo Dubois,78,74.0,71.71428571428570,77.0,10.8,74.5,61.375,77.33333333333330,178,65,27,15000000
Seko Fofana,78,79.0,74.0,73.0,9.4,77.16666666666670,62.625,72.0,185,74,26,17500000
Dani García,78,74.0,65.71428571428570,81.5,10.2,76.33333333333330,59.875,71.33333333333330,180,81,31,11500000
Ayoze Pérez,78,80.5,74.85714285714290,61.0,11.4,73.33333333333330,72.375,69.33333333333330,178,72,28,15000000
Lucas Alario,78,75.5,71.14285714285710,24.5,12.0,66.0,69.875,54.666666666666700,184,78,28,14500000
Carlos Izquierdoz,78,55.5,62.857142857142900,79.0,8.4,60.166666666666700,54.875,60.333333333333300,185,88,32,9000000
